Codigo,E. coli,Cloro Residual Livre(mg/L),Turbidez(uT)
C431507000004,Presente,0,0.1
C431507000003,Ausente,0.29,0.8
C431507000017,Ausente,0.18,0.1
C431507000011,Presente,0.2,0.1
C431507000015,Ausente,0.29,0.2
C431507000016,Ausente,0.26,0.6
C430045000017,Ausente,0.28,0.1
C430045000005,Presente,0,0.7
C430045000019,Ausente,0,0.6
C430045000018,Ausente,0,0.1
C431040000024,Presente,0,0.1
C431040000021,Ausente,0,0.8
C431040000034,Presente,0,0.6
C431040000026,Ausente,0,0.3
S431040000001,Ausente,0,0.1
C431040000010,Ausente,0,0.2
C431040000008,Ausente,0,0.5
S431040000001,Ausente,1.66,0.1
I431040000116,Ausente,0,0.1
C432210000024,Ausente,0,0.5
C432210000026,Ausente,0,0.1
C432210000027,Ausente,0,0.4
I432210000008,Ausente,0,0.1
I432210000008,Ausente,0,0.1
S432210000001,Ausente,1.37,0.1
C432210000025,Presente,0,0.6
C431720000004,Ausente,0,0.5
C431720000001,Presente,0,0.1
C431720000004,Ausente,0,0.2
C431720000017,Presente,0,0.1
C431720000035,Presente,0,0.1
C430430000023,Presente,0,0.2
S430430000001,Ausente,1.7,0.2
S430430000001,Ausente,1.7,0.1
C430430000026,Ausente,0.45,0.2
C430430000022,Presente,0,1.8
C430430000011,Ausente,0.6,0.2
C430430000031,Presente,0,0.2
C430430000030,Ausente,0,0.1
S430430000001,Ausente,1.7,0.2
S430673000001,Ausente,1.74,0.5
C430673000021,Ausente,0,0.4
C430673000022,Ausente,0,0.4
C430673000003,Ausente,0,0.5
C430673000025,Ausente,0,0.1
S430673000001,Ausente,1.02,0.1
C430673000012,Presente,0,0.2
C430673000007,Ausente,0,0.1
C430673000029,Ausente,0,0.4
C431301000032,Ausente,1.5,0.1
C431301000019,Ausente,0.2,0.2
C431301000035,Ausente,1.5,0.1
C431301000036,Ausente,1,0.2
C431301000034,Ausente,1.5,0.3
C431301000029,Ausente,0.5,0.6
C430030000025,Presente,0,0.1
C430030000004,Presente,0,0.6
S430030000001,Presente,0.4,0.2
C430030000019,Ausente,0,0.1
C430030000017,Presente,0,0.1
C430030000014,Ausente,0,0.1
C430030000003,Presente,0,2.1
S431500000001,Ausente,0.89,0.3
S431500000001,Ausente,0.95,0.6
S431500000001,Ausente,1.05,0.2
S431500000001,Ausente,0.9,0.6
S431500000001,Ausente,0.9,0.2
S431500000001,Ausente,0.98,0.1
S431500000001,Ausente,0.85,0.1
S431500000001,Ausente,0.95,0.7
S431500000001,Ausente,1.05,0.1
S432180000001,Ausente,1.33,0.1
S432180000001,Ausente,1.74,0.2
S432180000001,Ausente,1.66,0.4
S432180000001,Ausente,1.93,0.4
S432180000001,Ausente,1.81,0.4
S432180000001,Ausente,1.7,0.3
S432180000001,Ausente,1.54,0.2
S432180000001,Ausente,1.62,0.2
C431849000001,Ausente,0.24,0.2
C431849000009,Ausente,0.21,0.2
C431849000002,Ausente,0.16,0.6
C431849000013,Ausente,0.05,0.2
C431849000005,Ausente,0.03,0.4
S431849000001,Ausente,0.15,0.4
C431301000038,Ausente,0.2,0.3
C431301000030,Ausente,0.2,0.1
C431301000020,Ausente,0.7,0.4
C430220000011,Ausente,0,0.2
C431301000021,Ausente,0.8,0.2
C431301000031,Ausente,0.3,0.2
C431301000037,Ausente,0.8,0.2
S430673000001,Ausente,1,Não realizada
C432230000007,Ausente,0,0.1
S431720000001,Ausente,0,0.1
C431720000015,Ausente,0,0.1
C431720000034,Ausente,0,0.1
C431720000041,Ausente,0.99,0.1
I431720000001,Ausente,0,0.3
C431720000011,Ausente,0,0.5
C431720000018,Ausente,0,0.2
C431720000031,Ausente,0,0.1
