IBGE;LONG;LAT
432135;-51,0888;-31,2887
432140;-53,7573;-27,3722
432143;-50,0672;-29,5775
432145;-51,8128;-29,4889
432146;-52,593;-28,5805
432147;-54,0854;-27,3969
432149;-54,228;-29,4721
432150;-49,7304;-29,3359
432160;-50,1304;-29,9873
432162;-52,0578;-29,2991
432163;-52,1499;-27,4995
432166;-49,9156;-29,4459
432170;-50,7831;-29,5167
432180;-54,2353;-27,7797
432183;-50,0643;-29,5381
432185;-52,8437;-27,6175
432190;-53,9297;-27,4562
432195;-52,8922;-27,5176
432200;-51,7153;-29,9452
432210;-54,4331;-27,6501
432215;-52,957;-29,1064
432218;-51,5405;-27,9257
432220;-53,8406;-29,0775
432225;-51,4198;-29,4879
432230;-54,4785;-27,7541
432232;-52,1714;-31,4124
432234;-54,6845;-28,0436
432235;-52,0004;-28,7799
432237;-55,1508;-29,0475
432240;-57,0818;-29,7598
432250;-50,9366;-28,5024
432253;-52,6814;-29,6088
432254;-51,2512;-29,3923
432252;-52,1797;-29,7826
432255;-51,8447;-28,4762
432260;-52,1919;-29,6117
432270;-52,5011;-29,7199
432280;-51,5523;-28,934
432285;-51,8595;-29,0699
432290;-52,0238;-27,571
432300;-51,0248;-30,0819
432310;-53,4021;-27,1684
432320;-52,7478;-28,5602
432330;-51,5496;-28,863
432335;-52,1469;-28,1074
432340;-52,1635;-28,5333
432345;-53,8792;-30,334
432350;-53,4924;-27,3701
432360;-51,7862;-28,8095
432370;-53,7013;-27,29
432375;-54,4991;-28,3524
432377;-51,7662;-29,4234
432380;-50,0391;-29,8054
